Barca,Real
57,62
51,62
57,46
55,54
58,57
56,45
46,55
80,70
90,92
74,63
79,68
64,62
63,80
64,66
56,78
72,70
84,80
82,70
76,76
67,85
87,78
99,96
96,92
91,100
100,85
87,87
94,92
91,90
90,93
93,76
87,68
82,87
79,84
73,86
