Barca,RealMadrid
26,37
39,38
33,37
37,32
34,28
42,50
45,29
39,51
48,36
56,45
43,62
46,48
57,40
37,44
47,42
39,54
29,32
35,40
33,40
43,36
35,52
24,35
21,33
29,32
40,42
33,38
21,38
29,34
37,41
29,44
36,46
38,25
38,28
38,31
